,title,value_year_2020,value_year_2021,value_year_2022
0,Kas dan setara kas,20498574.0,33321741,38281513.0
1,Piutang usaha - Pihak ketiga,9691946.0,11639657,17118329.0
5,Persediaan,8002357.0,9454035,15390277.0
0,Lainnya,6003221.0,6188635,7678217.0
0,Total,44196098.0,60604068,78468336.0
11,Aset tetap,24319373.0,20456694,23677857.0
12,Properti pertambangan,12960139.0,11925276,11904934.0
15,Aset tambang berproduksi,4712973.0,4456300,4836058.0
0,Lainnya,13612696.0,15119018,21053827.0
0,Total,55605181.0,51957288,61472676.0
1,Pinjaman bank,2468375.0,2432677,7757750.0
0,Liabilitas imbalan kerja,602531.0,506238,3155268.0
2,Liabilitas sewa,153724.0,827726,626906.0
0,Lainnya,609802.0,4181993,4170075.0
0,Total,3834432.0,7948634,15709999.0
0,Utang usaha,10087733.0,14299387,24590710.0
6,Akrual,3829219.0,5188309,10693734.0
12,Bagian jangka pendek dari utang jangka panjang,2468375.0,5350875,2511075.0
0,Lainnya,4558497.0,5650647,9196226.0
0,Total,20943824.0,30489218,46991745.0
10,Jumlah ekuitas,63147140.0,71822757,89513825.0
8,Jumlah ekuitas yang diatribusikan kepada pemilik entitas induk,60286383.0,68559923,84698121.0
4,Saldo laba Belum dicadangkan,49305938.0,56486521,71137018.0
0,Lainnya,13841202.0,15336236,17448487.0
0,Total,186580663.0,212205437,262797451.0
